# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   12.084168337    0.684286462    0.684284616    0.684286948
   12.144288577    0.678948550    0.678948364    0.678949665
   12.204408818    0.692026477    0.692028302    0.692028275
   12.264529058    0.729710757    0.729713152    0.729712797
   12.324649299    0.755784148    0.755786183    0.755786007
   12.384769539    0.646068169    0.646069349    0.646069323
   12.444889780    0.516861538    0.516862198    0.516862233
   12.505010020    0.422922933    0.422923291    0.422923274
   12.565130261    0.373088624    0.373088784    0.373088741
   12.625250501    0.364491831    0.364491937    0.364491981
   12.685370741    0.418089208    0.418089291    0.418089477
   12.745490982    0.505778206    0.505778422    0.505778698
   12.805611222    0.545591579    0.545592079    0.545592329
   12.865731463    0.510181149    0.510181531    0.510181948
   12.925851703    0.504840268    0.504840259    0.504841235
   12.985971944    0.577704727    0.577704129    0.577706230
   13.046092184    0.658501568    0.658500346    0.658503763
   13.106212425    0.743260423    0.743259164    0.743262855
   13.166332665    0.844957253    0.844956534    0.844959947
   13.226452906    0.764401274    0.764401207    0.764403616
   13.286573146    0.636799775    0.636799975    0.636801442
   13.346693387    0.617730186    0.617730830    0.617732049
   13.406813627    0.561602674    0.561603992    0.561605128
   13.466933868    0.422052395    0.422053806    0.422053991
   13.527054108    0.339584925    0.339586558    0.339585496
   13.587174349    0.329062264    0.329064744    0.329062417
   13.647294589    0.354355652    0.354359403    0.354355927
   13.707414830    0.374053005    0.374057194    0.374053334
   13.767535070    0.372333856    0.372336826    0.372333999
   13.827655311    0.388222522    0.388224139    0.388222370
   13.887775551    0.415184689    0.415185553    0.415184234
   13.947895792    0.354419960    0.354420584    0.354419273
   14.008016032    0.298026436    0.298027104    0.298025366
   14.068136273    0.304793996    0.304794906    0.304792261
   14.128256513    0.368368405    0.368369693    0.368365911
   14.188376754    0.446492919    0.446494488    0.446489754
   14.248496994    0.468450130    0.468451413    0.468447018
   14.308617234    0.504134007    0.504135348    0.504131391
   14.368737475    0.511773746    0.511775741    0.511772056
   14.428857715    0.422543347    0.422544738    0.422542441
   14.488977956    0.334198398    0.334198626    0.334197760
   14.549098196    0.304691381    0.304690361    0.304690274
   14.609218437    0.297114449    0.297111927    0.297112357
